id,time,text
1278434087435460610,2020-07-01 21:03:33,"@smithstontinsm @BBCPolitics Brexit voters tend to care about ""content of character"" more than ethnicity or skin co… https://t.co/i69YnCAwGx"
1278362560023220224,2020-07-01 16:19:19,"Are being FUCKED left right and center by the HS, the people from Hong Kong don't have a nearly 500 year History wi… https://t.co/hlp3rbFoM9"
1276653179933876224,2020-06-26 23:06:51,@whitebison66 @VamosNadalClay @victor_emerita @noname346345345 @dontbow1 @LapGong @democracy222 I don’t care about… https://t.co/37Sjtmt7YV
1279776785471639554,2020-07-05 13:58:57,"@ohmybeautybank skintype : normal to combi
mw : Nivea biru
fw : kojiesan/jf sulfur
hydra toner : viva
serum : to ni… https://t.co/jwvYOFhuz4"
1279776748700200961,2020-07-05 13:58:48,@ohmybeautybank moisturizer sama ss
1279776682799333376,2020-07-05 13:58:32,5 min tak cukup nak bagi moisturizer serap habis mesti ada pilling jugak tak tau nak tunggu berapa lama 😂 https://t.co/KLqlzY8aVh
1279776441702338560,2020-07-05 13:57:35,@kopisoerum @subtanyarl Itu moisturizer marcks bukan sis?
1279776304586346497,2020-07-05 13:57:02,@ohmybeautybank moisturizer dan sunscreen harus banget
1279776232096149505,2020-07-05 13:56:45,@suloylens Iya sih di buat jadi moisturizer cakep betul
1279776035328782337,2020-07-05 13:55:58,Eee bila moisturizer nak sampai 😤
1279775760484573186,2020-07-05 13:54:53,"@paubraffett Thanks! Estuve en Accutane, pero ahora me he enfocado en hidratar la cara y me ha funcionado. Uso
Aloe… https://t.co/IWlGreJI5O"
1279775587578441729,2020-07-05 13:54:11,onemcl maglabas ka na ng grades pls para masabi ko na sa nanay ko umorder ulit ako sa shoppee ng moisturizer at phone case ☹️
1279775272313610242,2020-07-05 13:52:56,"@ohmybeautybank Skintype : oily, sensitif
mw : - (pakenya milk cleanser)
fw : wardah acnederm
hydra toner : viva
es… https://t.co/Gi19IlSuOk"
1279776916573126656,2020-07-05 13:59:28,"@TywysogM My concern which you have rightly proved is that you only care when people of colour have done it...
You… https://t.co/aHXo8s281E"
1279776770724704258,2020-07-05 13:58:53,Skin care nalang tayo
1279776758703763456,2020-07-05 13:58:51,OKAY IM BACK WHAT DID I MISS AFTER THE SKIN CARE COMMENT
1279776752311635970,2020-07-05 13:58:49,Check it out. Free skin care guide with a recipe for an all natural facial smoothie mask. https://t.co/VpHW68DogD
1279776738097213440,2020-07-05 13:58:46,"Me levanté, me hice la rutina de skin care y ahora estoy tomando mates en la cama. Así se arranca un domingo decente."
1279776726462025728,2020-07-05 13:58:43,@Taurus_Jackson @Breesoverrated That's racist bro we're living in the world now we're not supposed to care about the skin colour 😔
1279776725023420421,2020-07-05 13:58:43,bukas na dadating yung in- order kong skin care pero dipa kumpleto bayad q
1279776694673473536,2020-07-05 13:58:35,"se maquiar é legal mas skin care é viciante demais, mano"
1279776678580011008,2020-07-05 13:58:31,Roman has time available today. 1:00-8:00 stop by and get on the list and you can leave and take care of errands an… https://t.co/6obSvacElQ
1279776562922098690,2020-07-05 13:58:04,my poc friends yall have any skin care recommendations ahaha 🥺?
